DISTRICT,Rainfall,Month_sin,Month_cos,Date
MADURAI,0.0,0.49999999999999994,0.8660254037844387,1980-01-01
MADURAI,1.7,0.49999999999999994,0.8660254037844387,1981-01-01
MADURAI,0.1,0.49999999999999994,0.8660254037844387,1982-01-01
MADURAI,0.0,0.49999999999999994,0.8660254037844387,1983-01-01
MADURAI,13.0,0.49999999999999994,0.8660254037844387,1984-01-01
MADURAI,88.8,0.49999999999999994,0.8660254037844387,1985-01-01
MADURAI,16.3,0.49999999999999994,0.8660254037844387,1986-01-01
MADURAI,0.0,0.49999999999999994,0.8660254037844387,1987-01-01
MADURAI,0.0,0.49999999999999994,0.8660254037844387,1988-01-01
MADURAI,2.0,0.49999999999999994,0.8660254037844387,1989-01-01
MADURAI,158.1,0.49999999999999994,0.8660254037844387,1990-01-01
